Rainfall,Temperature,Fertilizer,Pesticide,Yield
1995,15,250,3.29,11.5
1669,20,242,8.88,10.79
648,38,124,2.65,6.32
1080,33,116,3.51,7.63
687,30,229,2.17,8.55
233,22,239,7.08,7.46
1571,15,200,9.5,9.04
294,30,203,3.42,6.86
1295,23,245,5.28,9.78
1774,27,259,6.71,12.44
353,25,104,10.0,3.89
449,27,55,1.94,4.39
873,39,212,5.49,9.11
637,35,199,4.47,7.49
317,24,220,8.79,5.89
970,18,192,5.28,7.41
1529,20,135,2.0,8.56
467,21,109,6.71,4.48
1277,19,150,7.94,7.51
435,25,293,1.03,8.82
588,27,283,8.73,9.39
1189,40,61,2.67,8.19
1957,39,288,5.97,14.09
962,33,98,4.74,7.14
600,37,91,7.48,5.65
823,24,215,4.34,6.83
966,24,131,8.83,6.57
1526,25,222,7.57,10.41
1118,35,84,6.83,6.34
1430,21,207,8.17,9.54
1452,32,265,7.79,11.3
1052,18,283,1.32,10.29
777,16,207,4.55,7.17
274,28,255,9.38,7.85
634,27,183,2.13,7.62
302,26,116,7.63,5.04
1645,21,129,9.77,8.76
1927,16,56,1.47,7.47
963,27,229,7.14,8.55
937,28,63,5.21,6.02
1005,31,122,6.21,7.13
1529,23,192,1.77,9.97
297,31,198,1.39,7.84
997,22,212,7.0,8.14
1558,16,115,8.41,6.93
